r30m44;Variable;factor;weight;spatial
Emi|CO2|Energy|Supply|+|Liquids w/ couple prod (Mt CO2/yr);Emissions|CO2|Energy|Supply|Liquids (Mt CO2/yr);1;NULL;reg+glo
Carbon Management|Carbon Capture (Mt CO2/yr);Emissions|CO2|Energy|Supply|Liquids (Mt CO2/yr);1;NULL;reg+glo
Carbon Management|Storage (Mt CO2/yr);Emissions|CO2|Energy|Supply|Liquids (Mt CO2/yr);-1;NULL;reg+glo
Emi|CO2|Energy|Supply|+|Hydrogen w/ couple prod (Mt CO2/yr);Emissions|CO2|Energy|Supply|Other Sector (Mt CO2/yr);1;NULL;reg+glo
Emi|CO2|Energy|Supply|+|Solids w/ couple prod (Mt CO2/yr);Emissions|CO2|Energy|Supply|Solids (Mt CO2/yr);1;NULL;reg+glo
Emi|CO2|+|Industrial Processes (Mt CO2/yr);Emissions|CO2|Industrial Processes (Mt CO2/yr);1;NULL;reg+glo
Emi|CO2|Industrial Processes|+|Cement (Mt CO2/yr);Emissions|CO2|Industrial Processes|Cement (Mt CO2/yr);1;NULL;reg+glo
Emi|CO2|CDR|DACCS (Mt CO2/yr);Emissions|CO2|Other (Mt CO2/yr);1;NULL;reg+glo
Emi|CO2|CDR|EW (Mt CO2/yr);Emissions|CO2|Other (Mt CO2/yr);1;NULL;reg+glo
Emi|CO|Land Use (Mt CO/yr);Emissions|CO|AFOLU (Mt CO/yr);1;NULL;reg+glo
Emi|CO|Energy Supply and Demand (Mt CO/yr);Emissions|CO|Energy (Mt CO/yr);1;NULL;reg+glo
Emi|CO|Energy Demand|ResCom (Mt CO/yr);Emissions|CO|Energy|Demand|Residential and Commercial (Mt CO/yr);1;NULL;reg+glo
Emi|CO|Energy Demand|Industry (Mt CO/yr);Emissions|CO|Energy|Demand|Industry (Mt CO/yr);1;NULL;reg+glo
Emi|CO|Energy Demand|Transport (Mt CO/yr);Emissions|CO|Energy|Demand|Transportation (Mt CO/yr);1;NULL;reg+glo
Emi|CO|Energy Supply (Mt CO/yr);Emissions|CO|Energy|Supply (Mt CO/yr);1;NULL;reg+glo
Emi|CO|Solvents (Mt CO/yr);Emissions|CO|Other (Mt CO/yr);1;NULL;reg+glo
Emi|CO|Waste (Mt CO/yr);Emissions|CO|Waste (Mt CO/yr);1;NULL;reg+glo
Emi|GHG|+|F-Gases (Mt CO2eq/yr);Emissions|F-Gases (Mt CO2-equiv/yr);1;NULL;reg+glo
Emi|HFC (kt HFC134a-equiv/yr);Emissions|HFC (kt HFC134a-equiv/yr);1;NULL;reg+glo
Emi|GHG (Mt CO2eq/yr);Emissions|Kyoto Gases (Mt CO2-equiv/yr);1;NULL;reg+glo
Emi|N2O (kt N2O/yr);Emissions|N2O (kt N2O/yr);1;NULL;reg+glo
Emissions|N2O|Land (Mt N2O/yr);Emissions|N2O|AFOLU (kt N2O/yr);1000;NULL;reg+glo
Emissions|N2O|Land|+|Agriculture (Mt N2O/yr);Emissions|N2O|AFOLU|Agriculture (kt N2O/yr);1000;NULL;reg+glo
Emissions|N2O|Land|Agriculture|+|Animal Waste Management (Mt N2O/yr);Emissions|N2O|AFOLU|Agriculture|Livestock|Manure Management (kt N2O/yr);1000;NULL;reg+glo
Emissions|N2O|Land|Agriculture|+|Agricultural Soils (Mt N2O/yr);Emissions|N2O|AFOLU|Agriculture|Managed Soils (kt N2O/yr);1000;NULL;reg+glo
Emi|N2O|+|Land-Use Change (kt N2O/yr);Emissions|N2O|AFOLU|Land (kt N2O/yr);1;NULL;reg+glo
Emissions|N2O|Land|+|Peatland (Mt N2O/yr);Emissions|N2O|AFOLU|Wetlands|Peatlands (kt N2O/yr);1000;NULL;reg+glo
Emi|N2O|Energy Supply and Demand (kt N2O/yr);Emissions|N2O|Energy (kt N2O/yr);1;NULL;reg+glo
Emi|N2O|+|Transport (kt N2O/yr);Emissions|N2O|Energy|Demand|Transportation (kt N2O/yr);1;NULL;reg+glo
Emi|N2O|+|Industry (kt N2O/yr);Emissions|N2O|Industrial Processes (kt N2O/yr);1;NULL;reg+glo
Emi|N2O|Other (kt N2O/yr);Emissions|N2O|Other (kt N2O/yr);1;NULL;reg+glo
Emi|N2O|+|Waste (kt N2O/yr);Emissions|N2O|Waste (kt N2O/yr);1;NULL;reg+glo
Emi|NH3 (Mt NH3/yr);Emissions|NH3 (Mt NH3/yr);1;NULL;reg+glo
Emi|NH3|Land Use (Mt NH3/yr);Emissions|NH3|AFOLU (Mt NH3/yr);1;NULL;reg+glo
Emi|NH3|Energy Supply and Demand (Mt NH3/yr);Emissions|NH3|Energy (Mt NH3/yr);1;NULL;reg+glo
Emi|NH3|Energy Demand|ResCom (Mt NH3/yr);Emissions|NH3|Energy|Demand|Residential and Commercial (Mt NH3/yr);1;NULL;reg+glo
Emi|NH3|Energy Demand|Industry (Mt NH3/yr);Emissions|NH3|Energy|Demand|Industry (Mt NH3/yr);1;NULL;reg+glo
Emi|NH3|Energy Demand|Transport (Mt NH3/yr);Emissions|NH3|Energy|Demand|Transportation (Mt NH3/yr);1;NULL;reg+glo
Emi|NH3|Energy Supply (Mt NH3/yr);Emissions|NH3|Energy|Supply (Mt NH3/yr);1;NULL;reg+glo
Emi|NH3|Solvents (Mt NH3/yr);Emissions|NH3|Other (Mt NH3/yr);1;NULL;reg+glo
Emi|NH3|Waste (Mt NH3/yr);Emissions|NH3|Waste (Mt NH3/yr);1;NULL;reg+glo
Emi|NOX (Mt NOX/yr);Emissions|NOx (Mt NO2/yr);1;NULL;reg+glo
Emi|NOX|Land Use (Mt NOX/yr);Emissions|NOx|AFOLU (Mt NO2/yr);1;NULL;reg+glo
Emi|NOX|Energy Supply and Demand (Mt NOX/yr);Emissions|NOx|Energy (Mt NO2/yr);1;NULL;reg+glo
Emi|NOX|Energy Demand|ResCom (Mt NOX/yr);Emissions|NOx|Energy|Demand|Residential and Commercial (Mt NO2/yr);1;NULL;reg+glo
Emi|NOX|Energy Demand|Industry (Mt NOX/yr);Emissions|NOx|Energy|Demand|Industry (Mt NO2/yr);1;NULL;reg+glo
Emi|NOX|Energy Demand|Transport (Mt NOX/yr);Emissions|NOx|Energy|Demand|Transportation (Mt NO2/yr);1;NULL;reg+glo
Emi|NOX|Energy Supply (Mt NOX/yr);Emissions|NOx|Energy|Supply (Mt NO2/yr);1;NULL;reg+glo
Emi|NOX|Solvents (Mt NOX/yr);Emissions|NOx|Other (Mt NO2/yr);1;NULL;reg+glo
Emi|NOX|Waste (Mt NOX/yr);Emissions|NOx|Waste (Mt NO2/yr);1;NULL;reg+glo
Emi|OC (Mt OC/yr);Emissions|OC (Mt OC/yr);1;NULL;reg+glo
Emi|OC|Land Use (Mt OC/yr);Emissions|OC|AFOLU (Mt OC/yr);1;NULL;reg+glo
Emi|OC|Energy Supply and Demand (Mt OC/yr);Emissions|OC|Energy (Mt OC/yr);1;NULL;reg+glo
Emi|OC|Energy Demand|ResCom (Mt OC/yr);Emissions|OC|Energy|Demand|Residential and Commercial (Mt OC/yr);1;NULL;reg+glo
Emi|OC|Energy Demand|Industry (Mt OC/yr);Emissions|OC|Energy|Demand|Industry (Mt OC/yr);1;NULL;reg+glo
Emi|OC|Energy Demand|Transport (Mt OC/yr);Emissions|OC|Energy|Demand|Transportation (Mt OC/yr);1;NULL;reg+glo
Emi|OC|Energy Supply (Mt OC/yr);Emissions|OC|Energy|Supply (Mt OC/yr);1;NULL;reg+glo
Emi|OC|Solvents (Mt OC/yr);Emissions|OC|Other (Mt OC/yr);1;NULL;reg+glo
Emi|OC|Waste (Mt OC/yr);Emissions|OC|Waste (Mt OC/yr);1;NULL;reg+glo
Emi|PFC (kt CF4-equiv/yr);Emissions|PFC (kt CF4-equiv/yr);1;NULL;reg+glo
Emi|SF6 (kt SF6/yr);Emissions|SF6 (kt SF6/yr);1;NULL;reg+glo
Emi|SO2 (Mt SO2/yr);Emissions|Sulfur (Mt SO2/yr);1;NULL;reg+glo
Emi|SO2|Land Use (Mt SO2/yr);Emissions|Sulfur|AFOLU (Mt SO2/yr);1;NULL;reg+glo
Emi|SO2|Energy Supply and Demand (Mt SO2/yr);Emissions|Sulfur|Energy (Mt SO2/yr);1;NULL;reg+glo
Emi|SO2|Energy Demand|ResCom (Mt SO2/yr);Emissions|Sulfur|Energy|Demand|Residential and Commercial (Mt SO2/yr);1;NULL;reg+glo
Emi|SO2|Energy Demand|Industry (Mt SO2/yr);Emissions|Sulfur|Energy|Demand|Industry (Mt SO2/yr);1;NULL;reg+glo
Emi|SO2|Energy Demand|Transport (Mt SO2/yr);Emissions|Sulfur|Energy|Demand|Transportation (Mt SO2/yr);1;NULL;reg+glo
Emi|SO2|Energy Supply (Mt SO2/yr);Emissions|Sulfur|Energy|Supply (Mt SO2/yr);1;NULL;reg+glo
Emi|SO2|Solvents (Mt SO2/yr);Emissions|Sulfur|Other (Mt SO2/yr);1;NULL;reg+glo
Emi|SO2|Waste (Mt SO2/yr);Emissions|Sulfur|Waste (Mt SO2/yr);1;NULL;reg+glo
Emi|VOC (Mt VOC/yr);Emissions|VOC (Mt VOC/yr);1;NULL;reg+glo
Emi|VOC|Land Use (Mt VOC/yr);Emissions|VOC|AFOLU (Mt VOC/yr);1;NULL;reg+glo
Emi|VOC|Energy Supply and Demand (Mt VOC/yr);Emissions|VOC|Energy (Mt VOC/yr);1;NULL;reg+glo
Emi|VOC|Energy Demand|ResCom (Mt VOC/yr);Emissions|VOC|Energy|Demand|Residential and Commercial (Mt VOC/yr);1;NULL;reg+glo
Emi|VOC|Energy Demand|Industry (Mt VOC/yr);Emissions|VOC|Energy|Demand|Industry (Mt VOC/yr);1;NULL;reg+glo
Emi|VOC|Energy Demand|Transport (Mt VOC/yr);Emissions|VOC|Energy|Demand|Transportation (Mt VOC/yr);1;NULL;reg+glo
Emi|VOC|Energy Supply (Mt VOC/yr);Emissions|VOC|Energy|Supply (Mt VOC/yr);1;NULL;reg+glo
Emi|VOC|Solvents (Mt VOC/yr);Emissions|VOC|Other (Mt VOC/yr);1;NULL;reg+glo
Emi|VOC|Waste (Mt VOC/yr);Emissions|VOC|Waste (Mt VOC/yr);1;NULL;reg+glo
New Cap|Electricity|Biomass (GW/yr);Capacity Additions|Electricity|Biomass (GW/yr);1;NULL;reg+glo
New Cap|Electricity|Biomass|w/ CC (GW/yr);Capacity Additions|Electricity|Biomass|w/ CCS (GW/yr);1;NULL;reg+glo
New Cap|Electricity|Biomass|w/o CC (GW/yr);Capacity Additions|Electricity|Biomass|w/o CCS (GW/yr);1;NULL;reg+glo
New Cap|Electricity|Coal (GW/yr);Capacity Additions|Electricity|Coal (GW/yr);1;NULL;reg+glo
New Cap|Electricity|Coal|w/ CC (GW/yr);Capacity Additions|Electricity|Coal|w/ CCS (GW/yr);1;NULL;reg+glo
New Cap|Electricity|Coal|w/o CC (GW/yr);Capacity Additions|Electricity|Coal|w/o CCS (GW/yr);1;NULL;reg+glo
New Cap|Electricity|Gas (GW/yr);Capacity Additions|Electricity|Gas (GW/yr);1;NULL;reg+glo
New Cap|Electricity|Gas|w/ CC (GW/yr);Capacity Additions|Electricity|Gas|w/ CCS (GW/yr);1;NULL;reg+glo
New Cap|Electricity|Gas|w/o CC (GW/yr);Capacity Additions|Electricity|Gas|w/o CCS (GW/yr);1;NULL;reg+glo
New Cap|Electricity|Geothermal (GW/yr);Capacity Additions|Electricity|Geothermal (GW/yr);1;NULL;reg+glo
New Cap|Electricity|Hydro (GW/yr);Capacity Additions|Electricity|Hydro (GW/yr);1;NULL;reg+glo
New Cap|Electricity|Nuclear (GW/yr);Capacity Additions|Electricity|Nuclear (GW/yr);1;NULL;reg+glo
New Cap|Electricity|Oil (GW/yr);Capacity Additions|Electricity|Oil (GW/yr);1;NULL;reg+glo
New Cap|Electricity|Solar (GW/yr);Capacity Additions|Electricity|Solar (GW/yr);1;NULL;reg+glo
New Cap|Electricity|Solar|CSP (GW/yr);Capacity Additions|Electricity|Solar|CSP (GW/yr);1;NULL;reg+glo
New Cap|Electricity|Solar|PV (GW/yr);Capacity Additions|Electricity|Solar|PV (GW/yr);1;NULL;reg+glo
New Cap|Electricity|Storage|Battery (GW/yr);Capacity Additions|Electricity|Storage Capacity (GWh/yr);1;NULL;reg+glo
New Cap|Electricity|Wind (GW/yr);Capacity Additions|Electricity|Wind (GW/yr);1;NULL;reg+glo
New Cap|Electricity|Wind|Offshore (GW/yr);Capacity Additions|Electricity|Wind|Offshore (GW/yr);1;NULL;reg+glo
New Cap|Electricity|Wind|Onshore (GW/yr);Capacity Additions|Electricity|Wind|Onshore (GW/yr);1;NULL;reg+glo
Cap|Electricity (GW);Capacity|Electricity (GW);1;NULL;reg+glo
Cap|Electricity|Biomass (GW);Capacity|Electricity|Biomass (GW);1;NULL;reg+glo
Cap|Electricity|Biomass|w/ CC (GW);Capacity|Electricity|Biomass|w/ CCS (GW);1;NULL;reg+glo
Cap|Electricity|Biomass|w/o CC (GW);Capacity|Electricity|Biomass|w/o CCS (GW);1;NULL;reg+glo
Cap|Electricity|Coal (GW);Capacity|Electricity|Coal (GW);1;NULL;reg+glo
Cap|Electricity|Coal|w/ CC (GW);Capacity|Electricity|Coal|w/ CCS (GW);1;NULL;reg+glo
Cap|Electricity|Coal|w/o CC (GW);Capacity|Electricity|Coal|w/o CCS (GW);1;NULL;reg+glo
Cap|Electricity|Gas (GW);Capacity|Electricity|Gas (GW);1;NULL;reg+glo
Cap|Electricity|Gas|w/ CC (GW);Capacity|Electricity|Gas|w/ CCS (GW);1;NULL;reg+glo
Cap|Electricity|Gas|w/o CC (GW);Capacity|Electricity|Gas|w/o CCS (GW);1;NULL;reg+glo
Cap|Electricity|Geothermal (GW);Capacity|Electricity|Geothermal (GW);1;NULL;reg+glo
Cap|Electricity|Hydro (GW);Capacity|Electricity|Hydro (GW);1;NULL;reg+glo
Cap|Electricity|Nuclear (GW);Capacity|Electricity|Nuclear (GW);1;NULL;reg+glo
Cap|Electricity|Oil|w/o CC (GW);Capacity|Electricity|Oil (GW);1;NULL;reg+glo
Cap|Electricity|Oil|w/o CC (GW);Capacity|Electricity|Oil|w/o CCS (GW);1;NULL;reg+glo
Cap|Electricity|Hydrogen (GW);Capacity|Electricity|Other (GW);1;NULL;reg+glo
Cap|Electricity|Peak Demand|Estimated from FE x 1p4 x 1p1 (GW);Capacity|Electricity|Peak Demand (GW);1;NULL;reg+glo
Cap|Electricity|Solar (GW);Capacity|Electricity|Solar (GW);1;NULL;reg+glo
Cap|Electricity|Solar|CSP (GW);Capacity|Electricity|Solar|CSP (GW);1;NULL;reg+glo
Cap|Electricity|Solar|PV (GW);Capacity|Electricity|Solar|PV (GW);1;NULL;reg+glo
Cap|Electricity|Storage|Battery (GW);Capacity|Electricity|Storage (GW);1;NULL;reg+glo
Cap|Electricity|Wind (GW);Capacity|Electricity|Wind (GW);1;NULL;reg+glo
Cap|Electricity|Wind|Offshore (GW);Capacity|Electricity|Wind|Offshore (GW);1;NULL;reg+glo
Cap|Electricity|Wind|Onshore (GW);Capacity|Electricity|Wind|Onshore (GW);1;NULL;reg+glo
Cap|Gases (GW);Capacity|Gases (GW);1;NULL;reg+glo
Cap|Gases|Biomass (GW);Capacity|Gases|Biomass (GW);1;NULL;reg+glo
Cap|Gases|Coal (GW);Capacity|Gases|Coal (GW);1;NULL;reg+glo
Cap|Hydrogen (GW);Capacity|Hydrogen (GW);1;NULL;reg+glo
Cap|Hydrogen|Biomass (GW);Capacity|Hydrogen|Biomass (GW);1;NULL;reg+glo
Cap|Hydrogen|Biomass|w/ CC (GW);Capacity|Hydrogen|Biomass|w/ CCS (GW);1;NULL;reg+glo
Cap|Hydrogen|Biomass|w/o CC (GW);Capacity|Hydrogen|Biomass|w/o CCS (GW);1;NULL;reg+glo
Cap|Hydrogen|Coal (GW);Capacity|Hydrogen|Coal (GW);1;NULL;reg+glo
Cap|Hydrogen|Coal|w/ CC (GW);Capacity|Hydrogen|Coal|w/ CCS (GW);1;NULL;reg+glo
Cap|Hydrogen|Coal|w/o CC (GW);Capacity|Hydrogen|Coal|w/o CCS (GW);1;NULL;reg+glo
Cap|Hydrogen|Electricity (GW);Capacity|Hydrogen|Electricity (GW);1;NULL;reg+glo
Cap|Hydrogen|Gas (GW);Capacity|Hydrogen|Gas (GW);1;NULL;reg+glo
Cap|Hydrogen|Gas|w/ CC (GW);Capacity|Hydrogen|Gas|w/ CCS (GW);1;NULL;reg+glo
Cap|Hydrogen|Gas|w/o CC (GW);Capacity|Hydrogen|Gas|w/o CCS (GW);1;NULL;reg+glo
Cap|Liquids (GW);Capacity|Liquids (GW);1;NULL;reg+glo
Cap|Liquids|Biomass (GW);Capacity|Liquids|Biomass (GW);1;NULL;reg+glo
Cap|Liquids|Coal (GW);Capacity|Liquids|Coal (GW);1;NULL;reg+glo
Cap|Liquids|Oil (GW);Capacity|Liquids|Oil (GW);1;NULL;reg+glo
Cumulative Cap|Electricity|Biomass (GW);Cumulative Capacity|Electricity|Biomass (GW);1;NULL;reg+glo
Cumulative Cap|Electricity|Biomass|w/ CC (GW);Cumulative Capacity|Electricity|Biomass|w/ CCS (GW);1;NULL;reg+glo
Cumulative Cap|Electricity|Biomass|w/o CC (GW);Cumulative Capacity|Electricity|Biomass|w/o CCS (GW);1;NULL;reg+glo
Cumulative Cap|Electricity|Coal (GW);Cumulative Capacity|Electricity|Coal (GW);1;NULL;reg+glo
Cumulative Cap|Electricity|Coal|w/ CC (GW);Cumulative Capacity|Electricity|Coal|w/ CCS (GW);1;NULL;reg+glo
Cumulative Cap|Electricity|Coal|w/o CC (GW);Cumulative Capacity|Electricity|Coal|w/o CCS (GW);1;NULL;reg+glo
Cumulative Cap|Electricity|Gas (GW);Cumulative Capacity|Electricity|Gas (GW);1;NULL;reg+glo
Cumulative Cap|Electricity|Gas|w/ CC (GW);Cumulative Capacity|Electricity|Gas|w/ CCS (GW);1;NULL;reg+glo
Cumulative Cap|Electricity|Gas|w/o CC (GW);Cumulative Capacity|Electricity|Gas|w/o CCS (GW);1;NULL;reg+glo
Cumulative Cap|Electricity|Geothermal (GW);Cumulative Capacity|Electricity|Geothermal (GW);1;NULL;reg+glo
Cumulative Cap|Electricity|Hydro (GW);Cumulative Capacity|Electricity|Hydro (GW);1;NULL;reg+glo
Cumulative Cap|Electricity|Nuclear (GW);Cumulative Capacity|Electricity|Nuclear (GW);1;NULL;reg+glo
Cumulative Cap|Electricity|Solar (GW);Cumulative Capacity|Electricity|Solar (GW);1;NULL;reg+glo
Cumulative Cap|Electricity|Solar|CSP (GW);Cumulative Capacity|Electricity|Solar|CSP (GW);1;NULL;reg+glo
Cumulative Cap|Electricity|Solar|PV (GW);Cumulative Capacity|Electricity|Solar|PV (GW);1;NULL;reg+glo
Cumulative Cap|Electricity|Wind (GW);Cumulative Capacity|Electricity|Wind (GW);1;NULL;reg+glo
Cumulative Cap|Electricity|Wind|Offshore (GW);Cumulative Capacity|Electricity|Wind|Offshore (GW);1;NULL;reg+glo
Cumulative Cap|Electricity|Wind|Onshore (GW);Cumulative Capacity|Electricity|Wind|Onshore (GW);1;NULL;reg+glo
Cumulative Cap|Hydrogen|Biomass (GW);Cumulative Capacity|Hydrogen|Biomass (GW);1;NULL;reg+glo
Cumulative Cap|Hydrogen|Biomass|w/ CC (GW);Cumulative Capacity|Hydrogen|Biomass|w/ CCS (GW);1;NULL;reg+glo
Cumulative Cap|Hydrogen|Biomass|w/o CC (GW);Cumulative Capacity|Hydrogen|Biomass|w/o CCS (GW);1;NULL;reg+glo
Cumulative Cap|Hydrogen|Coal (GW);Cumulative Capacity|Hydrogen|Coal (GW);1;NULL;reg+glo
Cumulative Cap|Hydrogen|Coal|w CC (GW);Cumulative Capacity|Hydrogen|Coal|w/ CCS (GW);1;NULL;reg+glo
Cumulative Cap|Hydrogen|Coal|w/o CC (GW);Cumulative Capacity|Hydrogen|Coal|w/o CCS (GW);1;NULL;reg+glo
Cumulative Cap|Hydrogen|Electricity (GW);Cumulative Capacity|Hydrogen|Electricity (GW);1;NULL;reg+glo
Cumulative Cap|Hydrogen|Gas (GW);Cumulative Capacity|Hydrogen|Gas (GW);1;NULL;reg+glo
Cumulative Cap|Hydrogen|Gas|w CC (GW);Cumulative Capacity|Hydrogen|Gas|w/ CCS (GW);1;NULL;reg+glo
Cumulative Cap|Hydrogen|Gas|w/o CC (GW);Cumulative Capacity|Hydrogen|Gas|w/o CCS (GW);1;NULL;reg+glo
Energy Service|Buildings|Commercial|Floor Space (bn m2/yr);Energy Service|Residential and Commercial|Commercial|Floor Space (bn m2/yr);1;NULL;reg+glo
Energy Service|Buildings|Floor Space (bn m2/yr);Energy Service|Residential and Commercial|Floor Space (bn m2/yr);1;NULL;reg+glo
Energy Service|Buildings|Residential|Floor Space (bn m2/yr);Energy Service|Residential and Commercial|Residential|Floor Space (bn m2/yr);1;NULL;reg+glo
ES|Transport|VKM|Pass|Aviation|Domestic (bn vkm/yr);Energy Service|Transportation|Aviation (bn vkm/yr);1;NULL;reg+glo
ES|Transport|VKM|Pass|Aviation|International (bn vkm/yr);Energy Service|Transportation|Aviation (bn vkm/yr);1;NULL;reg+glo
ES|Transport|Freight (bn tkm/yr);Energy Service|Transportation|Freight (bn tkm/yr);1;NULL;reg+glo
ES|Transport|Freight|International Shipping (bn tkm/yr);Energy Service|Transportation|Freight|International Shipping (bn tkm/yr);1;NULL;reg+glo
ES|Transport|Freight|Navigation (bn tkm/yr);Energy Service|Transportation|Freight|Navigation (bn tkm/yr);1;NULL;reg+glo
ES|Transport|Freight|Rail (bn tkm/yr);Energy Service|Transportation|Freight|Railways (bn tkm/yr);1;NULL;reg+glo
ES|Transport|Freight|Road (bn tkm/yr);Energy Service|Transportation|Freight|Road (bn tkm/yr);1;NULL;reg+glo
ES|Transport|VKM|Freight|Navigation (bn vkm/yr);Energy Service|Transportation|Navigation (bn vkm/yr);1;NULL;reg+glo
ES|Transport|Pass (bn pkm/yr);Energy Service|Transportation|Passenger (bn pkm/yr);1;NULL;reg+glo
ES|Transport|Pass|Aviation|Domestic (bn pkm/yr);Energy Service|Transportation|Passenger|Aviation (bn pkm/yr);1;NULL;reg+glo
ES|Transport|Pass|Aviation|International (bn pkm/yr);Energy Service|Transportation|Passenger|Aviation (bn pkm/yr);1;NULL;reg+glo
ES|Transport|Pass|Road|Non-Motorized (bn pkm/yr);Energy Service|Transportation|Passenger|Bicycling and Walking (bn pkm/yr);1;NULL;reg+glo
ES|Transport|Pass|Rail (bn pkm/yr);Energy Service|Transportation|Passenger|Railways (bn pkm/yr);1;NULL;reg+glo
ES|Transport|Pass|Road (bn pkm/yr);Energy Service|Transportation|Passenger|Road (bn pkm/yr);1;NULL;reg+glo
ES|Transport|Pass|Road|Non-Motorized (bn pkm/yr);Energy Service|Transportation|Passenger|Road (bn pkm/yr);-1;NULL;reg+glo
ES|Transport|Pass|Road|Bus (bn pkm/yr);Energy Service|Transportation|Passenger|Road|Bus (bn pkm/yr);1;NULL;reg+glo
ES|Transport|Pass|Road|LDV (bn pkm/yr);Energy Service|Transportation|Passenger|Road|LDV (bn pkm/yr);1;NULL;reg+glo
ES|Transport|VKM|Rail (bn vkm/yr);Energy Service|Transportation|Rail (bn vkm/yr);1;NULL;reg+glo
ES|Transport|VKM|Road (bn vkm/yr);Energy Service|Transportation|Road (bn vkm/yr);1;NULL;reg+glo
FE (EJ/yr);Final Energy (EJ/yr);1;NULL;reg+glo
FE|++|Buildings (EJ/yr);Final Energy|Residential and Commercial (EJ/yr);1;NULL;reg+glo
FE|Buildings|+|Electricity (EJ/yr);Final Energy|Residential and Commercial|Electricity (EJ/yr);1;NULL;reg+glo
FE|Buildings|+|Gases (EJ/yr);Final Energy|Residential and Commercial|Gases (EJ/yr);1;NULL;reg+glo
FE|Buildings|+|Heat (EJ/yr);Final Energy|Residential and Commercial|Heat (EJ/yr);1;NULL;reg+glo
FE|Buildings|+|Hydrogen (EJ/yr);Final Energy|Residential and Commercial|Hydrogen (EJ/yr);1;NULL;reg+glo
FE|Buildings|+|Liquids (EJ/yr);Final Energy|Residential and Commercial|Liquids (EJ/yr);1;NULL;reg+glo
FE|Buildings|Appliances and Light (EJ/yr);Final Energy|Residential and Commercial|Appliances (EJ/yr);1;NULL;reg+glo
FE|Buildings|Space Cooling (EJ/yr);Final Energy|Residential and Commercial|Cooling (EJ/yr);1;NULL;reg+glo
FE|Buildings|Heating (EJ/yr);Final Energy|Residential and Commercial|Heating (EJ/yr);1;NULL;reg+glo
FE|Buildings|Space Heating (EJ/yr);Final Energy|Residential and Commercial|Heating|Space (EJ/yr);1;NULL;reg+glo
FE|Buildings|Cooking and Water (EJ/yr);Final Energy|Residential and Commercial|Heating|Water (EJ/yr);1;NULL;reg+glo
FE|Buildings|+|Solids (EJ/yr);Final Energy|Residential and Commercial|Solids (EJ/yr);1;NULL;reg+glo
FE|Buildings|Solids|+|Biomass (EJ/yr);Final Energy|Residential and Commercial|Solids|Biomass (EJ/yr);1;NULL;reg+glo
FE|Buildings|Solids|Biomass|Traditional (EJ/yr);Final Energy|Residential and Commercial|Solids|Biomass|Traditional (EJ/yr);1;NULL;reg+glo
FE|Buildings|Solids|Coal (EJ/yr);Final Energy|Residential and Commercial|Solids|Coal (EJ/yr);1;NULL;reg+glo
FE|+|Electricity (EJ/yr);Final Energy|Electricity (EJ/yr);1;NULL;reg+glo
FE|+|Gases (EJ/yr);Final Energy|Gases (EJ/yr);1;NULL;reg+glo
FE|+|Heat (EJ/yr);Final Energy|Heat (EJ/yr);1;NULL;reg+glo
FE|+|Hydrogen (EJ/yr);Final Energy|Hydrogen (EJ/yr);1;NULL;reg+glo
FE|++|Industry (EJ/yr);Final Energy|Industry (EJ/yr);1;NULL;reg+glo
FE|Industry|+++|Cement (EJ/yr);Final Energy|Industry|Cement (EJ/yr);1;NULL;reg+glo
FE|Industry|Cement|+|Electricity (EJ/yr);Final Energy|Industry|Cement|Electricity (EJ/yr);1;NULL;reg+glo
FE|Industry|Cement|+|Gases (EJ/yr);Final Energy|Industry|Cement|Gases (EJ/yr);1;NULL;reg+glo
FE|Industry|Heat|Cement (EJ/yr);Final Energy|Industry|Cement|Heat (EJ/yr);1;NULL;reg+glo
FE|Industry|Cement|+|Hydrogen (EJ/yr);Final Energy|Industry|Cement|Hydrogen (EJ/yr);1;NULL;reg+glo
FE|Industry|Cement|+|Liquids (EJ/yr);Final Energy|Industry|Cement|Liquids (EJ/yr);1;NULL;reg+glo
FE|Industry|Cement|+|Solids (EJ/yr);Final Energy|Industry|Cement|Solids (EJ/yr);1;NULL;reg+glo
FE|Industry|+++|Chemicals (EJ/yr);Final Energy|Industry|Chemicals (EJ/yr);1;NULL;reg+glo
FE|Industry|Chemicals|+|Electricity (EJ/yr);Final Energy|Industry|Chemicals|Electricity (EJ/yr);1;NULL;reg+glo
FE|Industry|Chemicals|+|Gases (EJ/yr);Final Energy|Industry|Chemicals|Gases (EJ/yr);1;NULL;reg+glo
FE|Industry|Heat|Chemicals (EJ/yr);Final Energy|Industry|Chemicals|Heat (EJ/yr);1;NULL;reg+glo
FE|Industry|Chemicals|+|Hydrogen (EJ/yr);Final Energy|Industry|Chemicals|Hydrogen (EJ/yr);1;NULL;reg+glo
FE|Industry|Chemicals|+|Liquids (EJ/yr);Final Energy|Industry|Chemicals|Liquids (EJ/yr);1;NULL;reg+glo
FE|Industry|Chemicals|+|Solids (EJ/yr);Final Energy|Industry|Chemicals|Solids (EJ/yr);1;NULL;reg+glo
FE|Industry|+|Electricity (EJ/yr);Final Energy|Industry|Electricity (EJ/yr);1;NULL;reg+glo
FE|Industry|+|Gases (EJ/yr);Final Energy|Industry|Gases (EJ/yr);1;NULL;reg+glo
