r30m44;Variable;factor;weight;spatial
Tech|Hydrogen|Gas|w/ CC|Capital Costs (US$2005/kW);Capital Cost|Hydrogen|Gas|w/ CCS (US$2010/kW);1.10774;NULL;reg+glo
Tech|Hydrogen|Electricity|Capital Costs (US$2005/kW);Capital Cost|Hydrogen|Electricity (US$2010/kW);1.10774;NULL;reg+glo
Tech|Hydrogen|Coal|w/o CC|Capital Costs (US$2005/kW);Capital Cost|Hydrogen|Coal|w/o CCS (US$2010/kW);1.10774;NULL;reg+glo
Tech|Hydrogen|Coal|w/ CC|Capital Costs (US$2005/kW);Capital Cost|Hydrogen|Coal|w/ CCS (US$2010/kW);1.10774;NULL;reg+glo
Tech|Hydrogen|Biomass|w/o CC|Capital Costs (US$2005/kW);Capital Cost|Hydrogen|Biomass|w/o CCS (US$2010/kW);1.10774;NULL;reg+glo
Tech|Hydrogen|Biomass|w/ CC|Capital Costs (US$2005/kW);Capital Cost|Hydrogen|Biomass|w/ CCS (US$2010/kW);1.10774;NULL;reg+glo
Tech|Gases|Fossil|Coal|w/o CC|Capital Costs (US$2005/kW);Capital Cost|Gases|Coal|w/o CCS (US$2010/kW);1.10774;NULL;reg+glo
Tech|Gases|Biomass|w/o CC|Capital Costs (US$2005/kW);Capital Cost|Gases|Biomass|w/o CCS (US$2010/kW);1.10774;NULL;reg+glo
Tech|Electricity|Wind|Onshore|Capital Costs (US$2005/kW);Capital Cost|Electricity|Wind|Onshore (US$2010/kW);1.10774;NULL;reg+glo
Tech|Electricity|Wind|Offshore|Capital Costs (US$2005/kW);Capital Cost|Electricity|Wind|Offshore (US$2010/kW);1.10774;NULL;reg+glo
Tech|Electricity|Solar|PV|Capital Costs (US$2005/kW);Capital Cost|Electricity|Solar|PV (US$2010/kW);1.10774;NULL;reg+glo
Tech|Electricity|Solar|CSP|Capital Costs (US$2005/kW);Capital Cost|Electricity|Solar|CSP (US$2010/kW);1.10774;NULL;reg+glo
Tech|Electricity|Nuclear|Capital Costs (US$2005/kW);Capital Cost|Electricity|Nuclear (US$2010/kW);1.10774;NULL;reg+glo
